sif_id	industry_div	accident_kind	accident_summary	causal_object	high_risk_situation	causal_factor	countermeasure	content
887	제조업등	\N	2019년 4월 OO공장에서 재해자가 검사 작업대 위에 올라가 청소작업 중 지하피트(H:6.8m) 바닥으로 떨어져 사망	분류 불가	설비, 구조물 등 높은 장소에서의 작업	『밟고 있던 구조물(또는 자재) 등의 파손·탈락 등』으로 넘어지거나 떨어짐 위험	▶ 지하피트 개구부 등 위험장소에는 충분한 강도의 안전난간 등 추락방지를 위한 방호 조치\n▶ 추락의 위험을 알릴 수 있는 경고표지\n▶ 작업대 위로 올라감으로써 발생할 수 있는 추락위험을 근원적으로 차단할 수 있도록 작업대를 비위험 지역으로 이전설치	2019년 4월 OO공장에서 재해자가 검사 작업대 위에 올라가 청소작업 중 지하피트(H:6.8m) 바닥으로 떨어져 사망 [유발요인] 『밟고 있던 구조물(또는 자재) 등의 파손·탈락 등』으로 넘어지거나 떨어짐 위험 [대책] ▶ 지하피트 개구부 등 위험장소에는 충분한 강도의 안전난간 등 추락방지를 위한 방호 조치 ▶ 추락의 위험을 알릴 수 있는 경고표지 ▶ 작업대 위로 올라감으로써 발생할 수 있는 추락위험을 근원적으로 차단할 수 있도록 작업대를 비위험 지역으로 이전설치
888	제조업등	\N	2019년 8월 OO주식회사 재해자가 전기로 내부 수증기 폭발로 분출된 화염에 의해 전신화상을 입어 사망	생산설비(용해로/전기로)	용해로 사용 작업	『용해로 등에 물이 묻은 재료를 투입, 냉각수의 누출』등으로 인해 수증기 폭발에 의한 사고 위험	▶ 전기로 고열물 비산(수증기 폭발) 방지 조치 실시\n▶ 고열작업(전기로 작업)시 적정한 보호구 지급\n▶ 화재 또는 폭발의 위험이 있는 장소에 근로자 출입금지 조치	2019년 8월 OO주식회사 재해자가 전기로 내부 수증기 폭발로 분출된 화염에 의해 전신화상을 입어 사망 [유발요인] 『용해로 등에 물이 묻은 재료를 투입, 냉각수의 누출』등으로 인해 수증기 폭발에 의한 사고 위험 [대책] ▶ 전기로 고열물 비산(수증기 폭발) 방지 조치 실시 ▶ 고열작업(전기로 작업)시 적정한 보호구 지급 ▶ 화재 또는 폭발의 위험이 있는 장소에 근로자 출입금지 조치
889	제조업등	\N	2016년 10월경 OO사업장 압연공정에서 재해자가 압연기 측면 바닥의 냉각수 공급배관을 개방하던 중 넘어지면서 주변 철구조물에 머리를 부딪혀 사망	분류 불가	작업장소 통행·이동	이동 중 『미끄러운 상태의 바닥(오일, 빙판 등)을 밟거나 바닥의 요철부』에 걸려 넘어지면서 부딪히거나 떨어짐 등 위험	▶ 냉각수 배관 밸브 설치위치 변경 또는 안전통로 확보\n▶ 회전축인 조인트에 대한 방호덮개 설치 등 위험방지조치 실시\n▶ 압연기 조정작업시 운전정지 	2016년 10월경 OO사업장 압연공정에서 재해자가 압연기 측면 바닥의 냉각수 공급배관을 개방하던 중 넘어지면서 주변 철구조물에 머리를 부딪혀 사망 [유발요인] 이동 중 『미끄러운 상태의 바닥(오일, 빙판 등)을 밟거나 바닥의 요철부』에 걸려 넘어지면서 부딪히거나 떨어짐 등 위험 [대책] ▶ 냉각수 배관 밸브 설치위치 변경 또는 안전통로 확보 ▶ 회전축인 조인트에 대한 방호덮개 설치 등 위험방지조치 실시 ▶ 압연기 조정작업시 운전정지
890	제조업등	\N	2017년 7월경 분쇄공장에서 분리기 상부의 통로를 따라 이동하던 재해자가 바닥에 열려져 있던 여닫이 발판을 밟고 개구부를 넘어가던 중 미끄러져 분리기 내부로 떨어져 회전하던 이송스크류에 끼어 사망	분류 불가	작업장소 통행·이동	『설비를 밟고 올라 이동하거나 설비 사이를 뛰어넘어 이동』하다가 구조물에 다리가 걸려 넘어지거나 균형을 잃고 떨어짐 위험	▶ 떨어짐 예방조치 실시(안전난간, 울타리, 안전방망 또는 덮개 설치)\n▶ 분리기 내 이송스크류 방호조치(덮개·울·슬리브 등)설치\n▶ 통로 안전성 확보	2017년 7월경 분쇄공장에서 분리기 상부의 통로를 따라 이동하던 재해자가 바닥에 열려져 있던 여닫이 발판을 밟고 개구부를 넘어가던 중 미끄러져 분리기 내부로 떨어져 회전하던 이송스크류에 끼어 사망 [유발요인] 『설비를 밟고 올라 이동하거나 설비 사이를 뛰어넘어 이동』하다가 구조물에 다리가 걸려 넘어지거나 균형을 잃고 떨어짐 위험 [대책] ▶ 떨어짐 예방조치 실시(안전난간, 울타리, 안전방망 또는 덮개 설치) ▶ 분리기 내 이송스크류 방호조치(덮개·울·슬리브 등)설치 ▶ 통로 안전성 확보
891	제조업등	\N	2020년 9월 OO공장에서 산소 공급라인에서 홀더가 갑자기 분리되어 튕기면서 근처에 있던 재해자의 머리부위를 가격하여 사망	분류 불가	작업장소 통행·이동	『설비 내부의 잔여 유·공압 등 내부압력을 제거·차단하지 않은 상태에서 설비 해체 또는 점검』 중 구조물, 부속품 등의 비래로 인한 사고 위험	▶ 사고 위험이 높은 장소에 작업자 출입 제한(금지) 조치 실시\n▶ 홀더뭉치 체결력에 대한 기준 수립\n▶ 작업 중 분리된 홀더뭉치에 의한 위험 방지대책 수립	2020년 9월 OO공장에서 산소 공급라인에서 홀더가 갑자기 분리되어 튕기면서 근처에 있던 재해자의 머리부위를 가격하여 사망 [유발요인] 『설비 내부의 잔여 유·공압 등 내부압력을 제거·차단하지 않은 상태에서 설비 해체 또는 점검』 중 구조물, 부속품 등의 비래로 인한 사고 위험 [대책] ▶ 사고 위험이 높은 장소에 작업자 출입 제한(금지) 조치 실시 ▶ 홀더뭉치 체결력에 대한 기준 수립 ▶ 작업 중 분리된 홀더뭉치에 의한 위험 방지대책 수립
892	제조업등	\N	2021년 4월 OO공장 지게차 운전자가 전방 시야확보가 되지 않은 상태에서 이동 중인 재해자와 충돌하면서 재해자 사망	지게차	작업장소 통행·이동	『근로자와 작업차량(하역운반기계 또는 건설기계 포함) 간 이동동선(통행로)를 구분하지 않은 상태』에서 근로자가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 차량사이에 끼임 위험	▶ 근로자 안전통로 확보\n▶ 근로자 출입금지조치 또는 작업지휘자/유도자 배치\n▶ 사전조사 및 작업계획서 작성 등 관리 철저	2021년 4월 OO공장 지게차 운전자가 전방 시야확보가 되지 않은 상태에서 이동 중인 재해자와 충돌하면서 재해자 사망 [유발요인] 『근로자와 작업차량(하역운반기계 또는 건설기계 포함) 간 이동동선(통행로)를 구분하지 않은 상태』에서 근로자가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 차량사이에 끼임 위험 [대책] ▶ 근로자 안전통로 확보 ▶ 근로자 출입금지조치 또는 작업지휘자/유도자 배치 ▶ 사전조사 및 작업계획서 작성 등 관리 철저
893	제조업등	\N	2016년 2월경 파쇄 및 선별작업장에서 재해자가 용해로 공정의 작업상태를 확인하기 위해 통행하던 중 거푸집 운반하던 지게차에 부딪혀 사망	지게차	지게차 사용 작업	『근로자와 작업차량(하역운반기계 또는 건설기계 포함) 간 이동동선(통행로)를 구분하지 않은 상태』에서 근로자가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 차량사이에 끼임 위험	▶ 작업지휘자의 지정 또는 접촉의 방지\n▶ 작업장의 출입구 및 통로의 설치\n▶ 작업시작 전 전조등, 후미등, 방향지시기 및 경보장치 기능의 이상 유무를 점검	2016년 2월경 파쇄 및 선별작업장에서 재해자가 용해로 공정의 작업상태를 확인하기 위해 통행하던 중 거푸집 운반하던 지게차에 부딪혀 사망 [유발요인] 『근로자와 작업차량(하역운반기계 또는 건설기계 포함) 간 이동동선(통행로)를 구분하지 않은 상태』에서 근로자가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 차량사이에 끼임 위험 [대책] ▶ 작업지휘자의 지정 또는 접촉의 방지 ▶ 작업장의 출입구 및 통로의 설치 ▶ 작업시작 전 전조등, 후미등, 방향지시기 및 경보장치 기능의 이상 유무를 점검
894	제조업등	\N	2017년 4월경 재해자가 지게차로 마대를 왼쪽 포크에 걸고 운반 중 지가체가 무게중심을 잃고 왼쪽으로 넘어지면서 재해자가 떨어져 넘어지는 지게차의 헤드가드와 현장바닥 사이에 머리가 끼어 사망	지게차	지게차 사용 작업	작업차량(하역운반기계 또는 건설기계 포함)이 『운행경로 상의 지형(급경사, 커브, 바닥의 요철, 지반 등) 또는 바닥 구조물, 화물의 편하중』로 인해 떨어지거나 전도로 인한 위험	▶ 지게차 화물 적재 시 한쪽으로 치우치지 않도록 적재\n▶ 지게차 운전자 좌석 안전띠 착용\n▶ 차량계 하역운반기계 작업계획서 작성 및 준수	2017년 4월경 재해자가 지게차로 마대를 왼쪽 포크에 걸고 운반 중 지가체가 무게중심을 잃고 왼쪽으로 넘어지면서 재해자가 떨어져 넘어지는 지게차의 헤드가드와 현장바닥 사이에 머리가 끼어 사망 [유발요인] 작업차량(하역운반기계 또는 건설기계 포함)이 『운행경로 상의 지형(급경사, 커브, 바닥의 요철, 지반 등) 또는 바닥 구조물, 화물의 편하중』로 인해 떨어지거나 전도로 인한 위험 [대책] ▶ 지게차 화물 적재 시 한쪽으로 치우치지 않도록 적재 ▶ 지게차 운전자 좌석 안전띠 착용 ▶ 차량계 하역운반기계 작업계획서 작성 및 준수
895	제조업등	\N	2019년 1월 재해자가 용해로 공장동에서 이동하던 중 후진으로 운행 중이던 지게차에 치여 사망.	지게차	지게차 사용 작업	『차량(하역운반기계 또는 건설기계 포함)작업구역에서 출입통제 미실시』로 근로자(차량포함)가 작업차량 또는 운반하는 화물에 부딪히거나 깔림 또는 주변 구조물과 그 사이에 끼임 위험	▶ 지게차 작업 장소(운행 구역)에 근로자 출입금지 조치 실시\n▶ 지게차 운전은 건설기계조종사 면허를 가진 지정된 근로자만 할 수 있도록 관리\n▶ 작업계획서 작성 ·이행 및 근로자 주지	2019년 1월 재해자가 용해로 공장동에서 이동하던 중 후진으로 운행 중이던 지게차에 치여 사망. [유발요인] 『차량(하역운반기계 또는 건설기계 포함)작업구역에서 출입통제 미실시』로 근로자(차량포함)가 작업차량 또는 운반하는 화물에 부딪히거나 깔림 또는 주변 구조물과 그 사이에 끼임 위험 [대책] ▶ 지게차 작업 장소(운행 구역)에 근로자 출입금지 조치 실시 ▶ 지게차 운전은 건설기계조종사 면허를 가진 지정된 근로자만 할 수 있도록 관리 ▶ 작업계획서 작성 ·이행 및 근로자 주지
896	제조업등	\N	2016년 5월경 작업장 내에서 재해자(2명)가 크레인을 사용하여 화물(파이프 묶음)을 이송하던 중 화물이 설비에 부딪혀 넘어지면서 그아래 재해자(2명)이 깔려 사망	크레인(천장주행크레인)	크레인(천장주행, 갠트리, 지브 등) 사용 작업	운반하는 물체 또는 주변 구조물 등에 의해 『설비 조작자의 시야가 확보되지 않은 상태에서 운반』하여 다른 구조물에 부딪히거나 그 사이에 끼임 위험	▶ 작업자가 이동 시 통행로 상에는 인양중인 하물을 가리는 구조물이 없도록 통행로를 구획 설정\n▶ 크레인 무선 원격제어기(리모컨) 방향 표식 표기\n▶ 기계설비(포인터기) 넘어짐 방지 조치 	2016년 5월경 작업장 내에서 재해자(2명)가 크레인을 사용하여 화물(파이프 묶음)을 이송하던 중 화물이 설비에 부딪혀 넘어지면서 그아래 재해자(2명)이 깔려 사망 [유발요인] 운반하는 물체 또는 주변 구조물 등에 의해 『설비 조작자의 시야가 확보되지 않은 상태에서 운반』하여 다른 구조물에 부딪히거나 그 사이에 끼임 위험 [대책] ▶ 작업자가 이동 시 통행로 상에는 인양중인 하물을 가리는 구조물이 없도록 통행로를 구획 설정 ▶ 크레인 무선 원격제어기(리모컨) 방향 표식 표기 ▶ 기계설비(포인터기) 넘어짐 방지 조치
897	제조업등	\N	2019년 2월 OO공장에서 외주업체 근로자가 천장크레인 해체작업을 위해 워크웨이에서 이동식크레인 매달린 천장크레인의 거더를 지상으로 내리기 위한 신호작업 중 워크웨이 단부에서 바닥으로 떨어져 사망.	분류 불가	크레인(천장주행, 갠트리, 지브 등) 사용 작업	작업자 간 『작업 상황에 대해 의사소통을 하지 않고 작업』을 실시해 작업중인 기계 또는 운반하는 물체에 부딪히거나 깔림 또는 주변 구조물과 운반하는 물체 사이에 끼임 등 위험	▶ 작업발판 및 통로의 끝이나 개구부로서 근로자가 추락할 위험이 있는 장소에는 안전난간, 울타리, 수직형 추락방망 또는 덮개 등의 방호 조치\n▶ 안전대의 부착설비 실시\n▶ 중량물 취급 작업계획서 작성 및 준수	2019년 2월 OO공장에서 외주업체 근로자가 천장크레인 해체작업을 위해 워크웨이에서 이동식크레인 매달린 천장크레인의 거더를 지상으로 내리기 위한 신호작업 중 워크웨이 단부에서 바닥으로 떨어져 사망. [유발요인] 작업자 간 『작업 상황에 대해 의사소통을 하지 않고 작업』을 실시해 작업중인 기계 또는 운반하는 물체에 부딪히거나 깔림 또는 주변 구조물과 운반하는 물체 사이에 끼임 등 위험 [대책] ▶ 작업발판 및 통로의 끝이나 개구부로서 근로자가 추락할 위험이 있는 장소에는 안전난간, 울타리, 수직형 추락방망 또는 덮개 등의 방호 조치 ▶ 안전대의 부착설비 실시 ▶ 중량물 취급 작업계획서 작성 및 준수
898	제조업등	\N	2017년 7월 OO공장에서 작업자 두명이 천장주행 크레인에 달아올린 벨트 컨베이어에 올라탄 천장주행 크레인을 주행하려다 벨트 컨베이어가 기울어지면서 약 2.5m 아래 바닥으로 떨어져 2명이 부상	크레인(천장주행크레인)	크레인(천장주행, 갠트리, 지브 등) 사용 작업	『운반하는 물체를 밟고 올라선 상태』에서 줄걸이 체결 또는 줄걸이 상태를 확인하는 등 균형을 잃고 떨어짐 위험	▶ 크레인 탑승 제한조치 및 보호구 착용 철저\n▶ 중량물 취급 작업계획서 작성 및 준수\n▶ 사업장 안전보건활동의 강화를 통한 동종재해 예방 및 안전을 최우선하는 사업장 분위기 조성	2017년 7월 OO공장에서 작업자 두명이 천장주행 크레인에 달아올린 벨트 컨베이어에 올라탄 천장주행 크레인을 주행하려다 벨트 컨베이어가 기울어지면서 약 2.5m 아래 바닥으로 떨어져 2명이 부상 [유발요인] 『운반하는 물체를 밟고 올라선 상태』에서 줄걸이 체결 또는 줄걸이 상태를 확인하는 등 균형을 잃고 떨어짐 위험 [대책] ▶ 크레인 탑승 제한조치 및 보호구 착용 철저 ▶ 중량물 취급 작업계획서 작성 및 준수 ▶ 사업장 안전보건활동의 강화를 통한 동종재해 예방 및 안전을 최우선하는 사업장 분위기 조성
899	제조업등	\N	2017년 3월경 제품장에서 동료운전자가 지게차를 이용하여 H빔을 반출하던 중 적치대 3단에 적재된 H빔이 마스트 상단에 걸려 지게차를 후진하자 H빔이 떨어지며 반경내에 있던 재해자를 충격하여 사망	운반물(H빔)	혼재작업(작업자-작업차량)	근로자와 작업차량 간 『혼재작업 장소에서 근로자 이동과 작업차량(하역운반기계 또는 건설기계 포함) 운행을 통제하지 않은 상태』에서 근로자(차량 포함)가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 작업차량 사이에 끼임 등으로 인한 위험	▶ H빔과 간섭이 발생하지 않는 구조로 적치대 재설계\n▶ 차량계하역운반기계 작업계획서 작성 및 교육 실시\n▶ 위험작업에 대한 신호체계 수립	2017년 3월경 제품장에서 동료운전자가 지게차를 이용하여 H빔을 반출하던 중 적치대 3단에 적재된 H빔이 마스트 상단에 걸려 지게차를 후진하자 H빔이 떨어지며 반경내에 있던 재해자를 충격하여 사망 [유발요인] 근로자와 작업차량 간 『혼재작업 장소에서 근로자 이동과 작업차량(하역운반기계 또는 건설기계 포함) 운행을 통제하지 않은 상태』에서 근로자(차량 포함)가 작업차량에 부딪히거나 깔림 또는 주변 구조물과 작업차량 사이에 끼임 등으로 인한 위험 [대책] ▶ H빔과 간섭이 발생하지 않는 구조로 적치대 재설계 ▶ 차량계하역운반기계 작업계획서 작성 및 교육 실시 ▶ 위험작업에 대한 신호체계 수립
900	제조업등	\N	2022년 10월경 OO공장에서 재해자가 천장주행크레인을 사용하여 H빔을 운반한 후 클램프를 해체 하던 중 H빔이 전도되어 재해자가 끼임	크레인(천장주행크레인)	크레인(천장주행, 갠트리, 지브 등) 사용 작업	『줄걸이 설치·해체』 중 물체의 전도·낙하로 인한 사고 위험	▶ 제품 전도 방지 등 작업장 안전 확보\n▶ 작업계획 수립 및 작업 상황 관리감독 철저\n▶ 중량물 취급 방법 개선	2022년 10월경 OO공장에서 재해자가 천장주행크레인을 사용하여 H빔을 운반한 후 클램프를 해체 하던 중 H빔이 전도되어 재해자가 끼임 [유발요인] 『줄걸이 설치·해체』 중 물체의 전도·낙하로 인한 사고 위험 [대책] ▶ 제품 전도 방지 등 작업장 안전 확보 ▶ 작업계획 수립 및 작업 상황 관리감독 철저 ▶ 중량물 취급 방법 개선
901	제조업등	\N	2022년 5월경 재해자가 근무를 마치고 퇴근하던 중, 철강반제품(중량: 8.5ton, 2개)을 야적장으로 운반하던 지게차(16톤)에 부딪혀 넘어지면서 머리가 앞바퀴에 깔려 사망	지게차	지게차 사용 작업	운반하는 물체 또는 주변 구조물 등에 의해 『설비 조작자의 시야가 확보되지 않은 상태에서 운반』하여 다른 구조물에 부딪히거나 그 사이에 끼임 위험	▶ 안전통로 설치 등 접촉방지 조치 실시\n▶ 지게차와의 접촉방지 조치 실시\n▶ 화물의 허용하중 준수	2022년 5월경 재해자가 근무를 마치고 퇴근하던 중, 철강반제품(중량: 8.5ton, 2개)을 야적장으로 운반하던 지게차(16톤)에 부딪혀 넘어지면서 머리가 앞바퀴에 깔려 사망 [유발요인] 운반하는 물체 또는 주변 구조물 등에 의해 『설비 조작자의 시야가 확보되지 않은 상태에서 운반』하여 다른 구조물에 부딪히거나 그 사이에 끼임 위험 [대책] ▶ 안전통로 설치 등 접촉방지 조치 실시 ▶ 지게차와의 접촉방지 조치 실시 ▶ 화물의 허용하중 준수
902	제조업등	\N	2022년 9월경 스틸 2차 가공공장 내에서 재해자가 트럭 적재함 위에서 천장크레인으로 운반하는 환봉을 상차 하던 중, 환봉(7.5톤)에 복부를 부딪혀 사망	크레인(천장주행크레인)	크레인(천장주행, 갠트리, 지브 등) 사용 작업	운반하는 물체 또는 주변 구조물 등에 의해 『설비 조작자의 시야가 확보되지 않은 상태에서 운반』하여 다른 구조물에 부딪히거나 그 사이에 끼임 위험	▶ 긴자재 양중물 상하차 작업 시 리프팅빔 활용\n▶ 천장크레인 무선 컨트롤러 변경\n▶ 천장크레인 제어방법을 인버터로 변경	2022년 9월경 스틸 2차 가공공장 내에서 재해자가 트럭 적재함 위에서 천장크레인으로 운반하는 환봉을 상차 하던 중, 환봉(7.5톤)에 복부를 부딪혀 사망 [유발요인] 운반하는 물체 또는 주변 구조물 등에 의해 『설비 조작자의 시야가 확보되지 않은 상태에서 운반』하여 다른 구조물에 부딪히거나 그 사이에 끼임 위험 [대책] ▶ 긴자재 양중물 상하차 작업 시 리프팅빔 활용 ▶ 천장크레인 무선 컨트롤러 변경 ▶ 천장크레인 제어방법을 인버터로 변경
2749	건설업	익사	2019년 08월경 ○○현장에서 매립용으로선별된 토사 및 쇄석을 덤프트럭에 적재하여 동호안 매립지에 하역하고자 매립지 단부로 후진하던 중 매립지 단부가 붕괴되면서 덤프트럭과 함께 바다에 빠져 익사	물	1. 토공사	덤프트럭 후진하던 중 매립지 단부가 붕괴되며 덤프트럭과 함께 바다로 빠져 익사	▶ 차량계 건설기계 전도 방지를 위해 유도자 배치 및 지반의 침하방지 등의 조치 실시\n▶ 해당 작업장의 지형∙지반 및 지층 상태 등에 대한 사전조사 실시	2019년 08월경 ○○현장에서 매립용으로선별된 토사 및 쇄석을 덤프트럭에 적재하여 동호안 매립지에 하역하고자 매립지 단부로 후진하던 중 매립지 단부가 붕괴되면서 덤프트럭과 함께 바다에 빠져 익사 [유발요인] 덤프트럭 후진하던 중 매립지 단부가 붕괴되며 덤프트럭과 함께 바다로 빠져 익사 [대책] ▶ 차량계 건설기계 전도 방지를 위해 유도자 배치 및 지반의 침하방지 등의 조치 실시 ▶ 해당 작업장의 지형∙지반 및 지층 상태 등에 대한 사전조사 실시
903	제조업등	\N	2022년 9월경 냉간압연 공장동에서 재해자가 천장주행크레인(이하 크레인) 일상점검을 위해 크레인 주행레일이 설치된 점검로를 이동하던 중, 주행하는 크레인의 새들(Saddle)과 건물의 철골기둥 사이에 끼어 사망	크레인(천장주행크레인)	비정형 작업(점검)	『설비를 정지시키지 않거나 전원을 차단하지 않은 상태에서 정비·보수·청소·교체·조정·점검 등의 작업』 중 사고 위험	▶ 수리 등의 작업 시 위험 방지 조치 실시\n▶ 건설물 등과의 사이 통로 준수\n▶ 작업지휘자의 지정 준수	2022년 9월경 냉간압연 공장동에서 재해자가 천장주행크레인(이하 크레인) 일상점검을 위해 크레인 주행레일이 설치된 점검로를 이동하던 중, 주행하는 크레인의 새들(Saddle)과 건물의 철골기둥 사이에 끼어 사망 [유발요인] 『설비를 정지시키지 않거나 전원을 차단하지 않은 상태에서 정비·보수·청소·교체·조정·점검 등의 작업』 중 사고 위험 [대책] ▶ 수리 등의 작업 시 위험 방지 조치 실시 ▶ 건설물 등과의 사이 통로 준수 ▶ 작업지휘자의 지정 준수
904	제조업등	\N	2022년 10월경 OO포장 작업장에서 재해자가 냉연강판코일(≒11톤, 이하 코일) 포장을 위한 철밴드 결속작업 중 넘어지는 코일에 가슴을 맞고 쓰러지며 옆에 놓인 코일과 넘어진 코일 사이에 대퇴부가 끼여 사망	중량물(코일)	중량물 취급·운반 작업	『무게 또는 형태가 한쪽으로 치우치거나 무게중심이 높은(전도되기 쉬운) 물체 또는 적재상태가 불량한 물체 등』이 무너짐·전도·낙하로 인한 사고 위험	▶ 코일의 전도방지 조치 실시\n▶ 포장장소 선정 기준 정립\n▶ 내수코일 포장 작업에 대한 위험성평가 재실시	2022년 10월경 OO포장 작업장에서 재해자가 냉연강판코일(≒11톤, 이하 코일) 포장을 위한 철밴드 결속작업 중 넘어지는 코일에 가슴을 맞고 쓰러지며 옆에 놓인 코일과 넘어진 코일 사이에 대퇴부가 끼여 사망 [유발요인] 『무게 또는 형태가 한쪽으로 치우치거나 무게중심이 높은(전도되기 쉬운) 물체 또는 적재상태가 불량한 물체 등』이 무너짐·전도·낙하로 인한 사고 위험 [대책] ▶ 코일의 전도방지 조치 실시 ▶ 포장장소 선정 기준 정립 ▶ 내수코일 포장 작업에 대한 위험성평가 재실시
905	제조업등	\N	2022년 4월경 사업장 내 알루미늄 형재 압출공정에서 압출기 운전원인 재해자가 형재 이송 테이블에서 압출 불량으로 휘어진 형재를 수공구(가위형 집게)로 밀어내던 중 자동으로 복귀하던 풀러와 구조물에 끼여 사망	생산설비(압출기)	비정형 작업(정비·수리·교체·조정)	『설비를 정지시키지 않거나 전원을 차단하지 않은 상태에서 정비·보수·청소·교체·조정·점검 등의 작업』 중 사고 위험	▶ 휨 현상이 발생한 압출 형재를 재단 테이블로 이동시키기 전에 기계 운전 정지 실시\n▶ 기계 가동 범위에 방호울 등 설치	2022년 4월경 사업장 내 알루미늄 형재 압출공정에서 압출기 운전원인 재해자가 형재 이송 테이블에서 압출 불량으로 휘어진 형재를 수공구(가위형 집게)로 밀어내던 중 자동으로 복귀하던 풀러와 구조물에 끼여 사망 [유발요인] 『설비를 정지시키지 않거나 전원을 차단하지 않은 상태에서 정비·보수·청소·교체·조정·점검 등의 작업』 중 사고 위험 [대책] ▶ 휨 현상이 발생한 압출 형재를 재단 테이블로 이동시키기 전에 기계 운전 정지 실시 ▶ 기계 가동 범위에 방호울 등 설치
906	제조업등	\N	2023년 10월경 OO사업장에서 알루미늄 빌렛이 전단기 내부에서 걸려 작동하지 않자 빌렛 걸림 해소를 위해 재해자가 설비 내부로 들어가 조치하던 중 리미트 스위치를 동작시켜 불시 작동된 설비 내부에 끼임	생산설비(전단기)	비정형 작업(이물질 제거·청소)	『설비를 오조작하여 갑자기 작동한 설비』에 의한 사고 위험	▶ 비정형(점검·청소·정비) 작업 수행 시 운전 정지 및 전원차단 실시\n▶ 울, 덮개 등 끼임 방호조치 실시\n▶ 출입문 인터록 설치	2023년 10월경 OO사업장에서 알루미늄 빌렛이 전단기 내부에서 걸려 작동하지 않자 빌렛 걸림 해소를 위해 재해자가 설비 내부로 들어가 조치하던 중 리미트 스위치를 동작시켜 불시 작동된 설비 내부에 끼임 [유발요인] 『설비를 오조작하여 갑자기 작동한 설비』에 의한 사고 위험 [대책] ▶ 비정형(점검·청소·정비) 작업 수행 시 운전 정지 및 전원차단 실시 ▶ 울, 덮개 등 끼임 방호조치 실시 ▶ 출입문 인터록 설치
907	제조업등	\N	2023년 11월경 OO테크 공장 진공 전기 유도로에서 재해자가 구리니켈합금(CuNi) 잉곳 제조를 위해 용해작업 중  전기로가 폭발하여 재해자가 사망	생산설비(용해로/전기로)	용해로 사용 작업	『용해로 등에 물이 묻은 재료를 투입, 냉각수의 누출』등으로 인해 수증기 폭발에 의한 사고 위험	▶ 굳은 용탕을 녹이기 위한 작업안전수칙 준수\n▶ 화상 등의 위험을 방지하기 위한 보호구 지급 및 착용\n▶ 주물 작업 투입 전 특별교육 실시	2023년 11월경 OO테크 공장 진공 전기 유도로에서 재해자가 구리니켈합금(CuNi) 잉곳 제조를 위해 용해작업 중 전기로가 폭발하여 재해자가 사망 [유발요인] 『용해로 등에 물이 묻은 재료를 투입, 냉각수의 누출』등으로 인해 수증기 폭발에 의한 사고 위험 [대책] ▶ 굳은 용탕을 녹이기 위한 작업안전수칙 준수 ▶ 화상 등의 위험을 방지하기 위한 보호구 지급 및 착용 ▶ 주물 작업 투입 전 특별교육 실시
908	제조업등	\N	2023년 3월경 OO철강 압연공정에서 재해자가 압연라인 점검 중 철근 소재가 압연라인에서 이탈하면서 재해자의 왼쪽 대퇴부를 관통하여 사망	생산설비(압연기)	비정형 작업(점검)	『설비에 안전장치가 설치되어 있지 않거나, 불량하거나, 설치된 안전장치를 해제한 상태』로 사용 중 사고 위험	▶ 소재 이탈에 대비한 덮개 또는 울타리 설치\n▶ 압연공정 기계 부속품 등에 대한 점검주기 세부 수립\n▶ 압연 작업 표준 개정 및 준수	2023년 3월경 OO철강 압연공정에서 재해자가 압연라인 점검 중 철근 소재가 압연라인에서 이탈하면서 재해자의 왼쪽 대퇴부를 관통하여 사망 [유발요인] 『설비에 안전장치가 설치되어 있지 않거나, 불량하거나, 설치된 안전장치를 해제한 상태』로 사용 중 사고 위험 [대책] ▶ 소재 이탈에 대비한 덮개 또는 울타리 설치 ▶ 압연공정 기계 부속품 등에 대한 점검주기 세부 수립 ▶ 압연 작업 표준 개정 및 준수
